date,station,station_id,wind_speed_ms,wind_direction_deg,temperature_c,air_pressure_hpa,sunshine_hours,precipitation_mm,max_wind_gust_ms,min_wind_speed_ms,max_wind_speed_ms,humidity_pct,cloud_cover,global_radiation
2021-01-01,De Bilt,260,2.1,225.0,3.0,1008.4,0.9,0.0,6.0,1.0,3.0,92.0,7.0,194.0
2021-01-02,De Bilt,260,1.8,196.0,3.6,1013.4,0.0,0.3,5.0,1.0,3.0,96.0,8.0,107.0
2021-01-03,De Bilt,260,3.5,40.0,3.3,1016.7,0.0,0.1,10.0,2.0,5.0,86.0,8.0,84.0
2021-01-04,De Bilt,260,5.3,41.0,2.8,1017.8,0.0,1.1,13.0,5.0,6.0,87.0,8.0,55.0
2021-01-05,De Bilt,260,4.1,45.0,2.9,1018.0,0.0,0.1,9.0,3.0,5.0,89.0,8.0,50.0
2021-01-06,De Bilt,260,2.6,12.0,2.4,1016.7,0.0,0.1,9.0,1.0,5.0,86.0,8.0,111.0
2021-01-07,De Bilt,260,2.3,292.0,2.6,1012.4,0.0,7.9,10.0,1.0,4.0,94.0,8.0,123.0
2021-01-08,De Bilt,260,1.3,341.0,1.1,1016.4,2.7,0.4,5.0,1.0,3.0,95.0,6.0,270.0
2021-01-09,De Bilt,260,1.2,290.0,-0.6,1023.9,5.4,0.5,8.0,1.0,2.0,93.0,2.0,382.0
2021-01-10,De Bilt,260,2.4,222.0,1.6,1023.5,2.4,0.0,7.0,1.0,4.0,89.0,7.0,304.0
2021-01-11,De Bilt,260,5.4,219.0,5.0,1015.1,0.0,1.2,13.0,4.0,6.0,89.0,8.0,62.0
2021-01-12,De Bilt,260,3.7,282.0,5.2,1009.5,4.1,15.9,13.0,2.0,7.0,85.0,5.0,358.0
2021-01-13,De Bilt,260,3.3,277.0,4.3,1015.5,4.2,0.8,10.0,2.0,5.0,79.0,7.0,332.0
2021-01-14,De Bilt,260,3.3,69.0,1.2,1020.2,1.5,0.0,9.0,1.0,5.0,82.0,8.0,254.0
2021-01-15,De Bilt,260,1.6,351.0,1.2,1028.6,0.0,0.0,6.0,0.0,4.0,78.0,8.0,82.0
2021-01-16,De Bilt,260,3.5,185.0,0.8,1022.3,0.0,2.9,13.0,2.0,6.0,83.0,8.0,123.0
2021-01-17,De Bilt,260,2.2,254.0,3.4,1018.7,2.1,2.2,10.0,1.0,4.0,93.0,7.0,316.0
2021-01-18,De Bilt,260,4.1,225.0,4.8,1019.7,0.2,0.2,10.0,2.0,6.0,90.0,8.0,157.0
2021-01-19,De Bilt,260,7.3,217.0,7.7,1005.0,0.2,15.6,17.0,6.0,9.0,88.0,8.0,69.0
2021-01-20,De Bilt,260,6.4,185.0,9.0,994.6,0.4,0.0,13.0,6.0,8.0,71.0,8.0,162.0
2021-01-21,De Bilt,260,7.0,209.0,7.0,986.7,3.8,11.8,22.0,2.0,11.0,78.0,7.0,342.0
2021-01-22,De Bilt,260,3.9,221.0,4.0,991.9,3.3,0.9,10.0,2.0,5.0,88.0,6.0,348.0
2021-01-23,De Bilt,260,2.8,203.0,3.2,994.1,0.9,0.4,10.0,1.0,5.0,88.0,8.0,222.0
2021-01-24,De Bilt,260,2.3,225.0,2.4,997.9,3.2,0.1,7.0,1.0,4.0,84.0,7.0,375.0
2021-01-25,De Bilt,260,2.8,262.0,2.3,1004.9,5.7,2.9,16.0,1.0,5.0,83.0,6.0,507.0
2021-01-26,De Bilt,260,3.8,254.0,4.5,1015.2,3.5,0.9,12.0,2.0,5.0,81.0,7.0,379.0
2021-01-27,De Bilt,260,3.7,218.0,4.7,1010.6,0.0,1.3,11.0,2.0,6.0,93.0,8.0,103.0
2021-01-28,De Bilt,260,2.8,100.0,5.1,1002.3,0.0,10.2,7.0,1.0,4.0,97.0,8.0,69.0
2021-01-29,De Bilt,260,5.1,267.0,7.4,995.2,0.3,10.0,16.0,3.0,7.0,87.0,8.0,208.0
2021-01-30,De Bilt,260,5.3,65.0,0.4,1002.8,0.3,0.0,12.0,3.0,7.0,79.0,8.0,271.0
2021-01-31,De Bilt,260,3.4,76.0,-1.5,1001.0,7.1,0.0,8.0,2.0,5.0,82.0,6.0,649.0
2021-02-01,De Bilt,260,2.2,41.0,1.0,995.9,0.0,0.2,7.0,1.0,4.0,93.0,8.0,181.0
2021-02-02,De Bilt,260,3.1,166.0,5.0,998.6,0.0,5.0,10.0,1.0,5.0,95.0,8.0,147.0
2021-02-03,De Bilt,260,3.3,227.0,8.6,996.7,0.0,15.0,11.0,2.0,5.0,93.0,8.0,72.0
2021-02-04,De Bilt,260,3.0,190.0,6.6,1011.6,2.0,0.4,9.0,2.0,4.0,90.0,7.0,323.0
2021-02-05,De Bilt,260,2.0,114.0,6.8,1011.1,1.1,1.9,6.0,1.0,4.0,93.0,8.0,275.0
2021-02-06,De Bilt,260,5.9,67.0,2.6,1008.9,0.0,3.6,16.0,2.0,9.0,92.0,8.0,122.0
2021-02-07,De Bilt,260,8.0,61.0,-4.1,1001.4,0.0,4.3,18.0,7.0,10.0,83.0,8.0,137.0
2021-02-08,De Bilt,260,4.9,61.0,-5.6,1003.3,0.0,1.0,13.0,1.0,7.0,80.0,8.0,323.0
