date,air_pressure_hpa_de_bilt,air_pressure_hpa_de_kooy,air_pressure_hpa_eelde,air_pressure_hpa_hoek_van_holland,air_pressure_hpa_vlissingen,cloud_cover_de_bilt,cloud_cover_de_kooy,cloud_cover_eelde,cloud_cover_vlissingen,global_radiation_de_bilt,global_radiation_de_kooy,global_radiation_eelde,global_radiation_hoek_van_holland,global_radiation_vlissingen,humidity_pct_de_bilt,humidity_pct_de_kooy,humidity_pct_eelde,humidity_pct_hoek_van_holland,humidity_pct_vlissingen,max_wind_gust_ms_de_bilt,max_wind_gust_ms_de_kooy,max_wind_gust_ms_eelde,max_wind_gust_ms_hoek_van_holland,max_wind_gust_ms_vlissingen,max_wind_speed_ms_de_bilt,max_wind_speed_ms_de_kooy,max_wind_speed_ms_eelde,max_wind_speed_ms_hoek_van_holland,max_wind_speed_ms_vlissingen,min_wind_speed_ms_de_bilt,min_wind_speed_ms_de_kooy,min_wind_speed_ms_eelde,min_wind_speed_ms_hoek_van_holland,min_wind_speed_ms_vlissingen,precipitation_mm_de_bilt,precipitation_mm_de_kooy,precipitation_mm_eelde,precipitation_mm_hoek_van_holland,precipitation_mm_vlissingen,sunshine_hours_de_bilt,sunshine_hours_de_kooy,sunshine_hours_eelde,sunshine_hours_hoek_van_holland,sunshine_hours_vlissingen,temperature_c_de_bilt,temperature_c_de_kooy,temperature_c_eelde,temperature_c_hoek_van_holland,temperature_c_vlissingen,wind_direction_deg_de_bilt,wind_direction_deg_de_kooy,wind_direction_deg_eelde,wind_direction_deg_hoek_van_holland,wind_direction_deg_vlissingen,wind_speed_ms_de_bilt,wind_speed_ms_de_kooy,wind_speed_ms_eelde,wind_speed_ms_hoek_van_holland,wind_speed_ms_vlissingen,wind_onshore_gwh,wind_offshore_gwh,wind_energy_gwh
2021-01-01,1008.4,1007.5,1007.1,1008.7,1009.3,7.0,7.0,7.0,8.0,194.0,247.0,192.0,215.0,282.0,92.0,88.0,96.0,91.0,84.0,6.0,5.0,5.0,10.0,12.0,3.0,3.0,4.0,7.0,10.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.1,1.6,0.9,2.8,1.7,2.4,3.0,3.0,4.4,1.9,4.8,4.5,225.0,252.0,223.0,255.0,249.0,2.1,1.7,2.7,4.8,5.5,4.007706,7.366224,11.37393
2021-01-02,1013.4,1013.0,1012.9,1013.4,1013.4,8.0,4.0,8.0,7.0,107.0,253.0,118.0,258.0,221.0,96.0,92.0,97.0,95.0,93.0,5.0,6.0,5.0,9.0,8.0,3.0,4.0,3.0,4.0,6.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.4,2.4,0.8,0.0,4.5,0.0,3.2,2.6,3.6,3.2,3.4,4.1,4.4,196.0,13.0,226.0,196.0,239.0,1.8,1.5,2.1,2.1,2.7,2.364463,1.732419,4.096882
2021-01-03,1016.7,1018.2,1018.1,1017.0,1016.1,8.0,8.0,8.0,8.0,84.0,176.0,166.0,111.0,118.0,86.0,88.0,90.0,85.0,87.0,10.0,16.0,12.0,14.0,11.0,5.0,12.0,7.0,11.0,7.0,2.0,1.0,2.0,3.0,1.0,0.1,0.0,0.3,0.0,0.0,0.0,1.5,1.4,0.2,0.0,3.3,3.5,3.5,3.6,3.7,40.0,58.0,47.0,56.0,43.0,3.5,6.3,4.9,7.0,4.8,26.663979,17.367933,44.031912000000005
2021-01-04,1017.8,1020.1,1019.9,1018.1,1016.8,8.0,8.0,8.0,8.0,55.0,99.0,92.0,111.0,71.0,87.0,82.0,84.0,86.0,86.0,13.0,18.0,13.0,15.0,14.0,6.0,13.0,8.0,12.0,9.0,5.0,9.0,6.0,9.0,5.0,1.1,0.3,0.5,0.7,0.6,0.0,0.0,0.0,0.0,0.0,2.8,3.2,2.6,3.2,3.4,41.0,56.0,45.0,49.0,44.0,5.3,11.0,7.1,9.8,7.4,67.611154,41.667319,109.278473
2021-01-05,1018.0,1019.5,1019.5,1018.2,1017.3,8.0,8.0,8.0,8.0,50.0,110.0,57.0,101.0,75.0,89.0,88.0,91.0,86.0,87.0,9.0,15.0,10.0,13.0,10.0,5.0,10.0,7.0,9.0,7.0,3.0,8.0,3.0,6.0,5.0,0.1,0.6,1.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.9,3.2,2.5,3.3,3.2,45.0,60.0,49.0,56.0,45.0,4.1,9.2,5.6,7.7,5.7,44.709422,30.24539,74.954812
2021-01-06,1016.7,1017.2,1016.3,1017.3,1017.0,8.0,8.0,8.0,8.0,111.0,99.0,82.0,192.0,170.0,86.0,87.0,91.0,86.0,88.0,9.0,13.0,6.0,13.0,8.0,5.0,9.0,4.0,8.0,6.0,1.0,1.0,0.0,2.0,1.0,0.1,0.8,1.0,0.8,0.7,0.0,0.0,0.0,0.4,1.3,2.4,2.4,1.6,2.9,3.1,12.0,34.0,349.0,30.0,21.0,2.6,3.3,2.3,5.0,3.3,10.341024,10.208406,20.54943
2021-01-07,1012.4,1012.0,1010.9,1013.0,1014.4,8.0,8.0,8.0,8.0,123.0,107.0,156.0,180.0,181.0,94.0,89.0,96.0,85.0,84.0,10.0,12.0,4.0,15.0,14.0,4.0,7.0,3.0,11.0,5.0,1.0,1.0,1.0,4.0,1.0,7.9,12.9,0.6,6.0,6.2,0.0,0.0,0.9,1.1,0.5,2.6,3.2,1.6,4.1,3.3,292.0,336.0,280.0,338.0,315.0,2.3,3.5,1.9,9.0,3.6,9.494532,16.279493,25.774025
2021-01-08,1016.4,1016.5,1015.7,1016.8,1017.0,6.0,5.0,7.0,5.0,270.0,344.0,245.0,334.0,252.0,95.0,92.0,95.0,89.0,86.0,5.0,6.0,5.0,12.0,9.0,3.0,2.0,3.0,10.0,6.0,1.0,1.0,1.0,0.0,2.0,0.4,0.4,0.5,0.6,1.5,2.7,5.8,2.2,4.8,2.0,1.1,2.3,1.3,3.4,3.7,341.0,353.0,309.0,2.0,325.0,1.3,1.4,1.9,4.3,3.3,1.945651,6.744608,8.690259000000001
2021-01-09,1023.9,1023.4,1022.5,1024.4,1024.6,2.0,4.0,6.0,3.0,382.0,311.0,281.0,348.0,430.0,93.0,76.0,96.0,81.0,84.0,8.0,10.0,4.0,10.0,7.0,2.0,5.0,2.0,7.0,3.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.1,0.3,0.0,5.4,4.6,4.0,5.2,5.3,-0.6,4.0,0.2,4.3,3.4,290.0,317.0,230.0,339.0,322.0,1.2,3.0,1.1,4.6,1.9,3.222913,4.405917,7.62883
2021-01-10,1023.5,1021.9,1021.6,1023.7,1024.3,7.0,8.0,8.0,7.0,304.0,81.0,165.0,192.0,300.0,89.0,85.0,96.0,82.0,84.0,7.0,10.0,9.0,9.0,9.0,4.0,7.0,6.0,6.0,7.0,1.0,4.0,1.0,4.0,1.0,0.0,0.3,0.2,0.0,0.0,2.4,0.0,1.5,1.9,2.3,1.6,4.9,1.2,4.7,3.9,222.0,248.0,222.0,256.0,242.0,2.4,5.6,4.2,5.3,4.5,14.782855,9.85982,24.642675
